軌道業者,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
TRA,TRAJNY3401,斗六車站法定停車場,23.71243,120.54288,計時:汽20元(0.5時) 計次:機車20元/次(w1-4) 30元/次(w5-假日)    當日最高:汽車180元(w1-4) 220元(w5-假日)  月租:汽車800元  機車:200元,有,雲林縣斗六市民生路243號(旁)
TRA,TRAJNY2304,員林雙平停車場,23.96474,120.56963,每半小時10元，當日當次最高上限150元,無,彰化縣員林市和平里雙平路32號旁鐵路高架下層平面空地
TRA,TRAJLY1303,樹林車站前站停車場,24.99122,121.42481,"機車35元/每次, 汽車20元/半小時(平日),25元/半小時(假日),每日上限280元,月租3000元",無,新北市樹林區鎮前街112號
TRA,TRAJTY0134,潮州驛站商場停車場,22.55166,120.53594,汽車每半小時10,無,屏東縣潮州鎮  新榮里信義路 111 號
TRA,TRAJLY1705,埔心停1,24.919469833374023,121.18395233154297,40元/次,無,桃園市楊梅區永美路208號
TRA,TRAJNY3406,虎尾停車場,23.705379486083984,120.43549346923828,固定:800元/月 非固定:500元/月 ，當日最高60元，20元/時,無,雲林縣虎尾鎮中山路3-24號
TRA,TRAJSY4011,冬山停一停車場,24.635549545288086,121.79299926757812,汽車每小時50元、未滿1小時以1小時計，逾1小時以上以每半小時為付費單位；月租2500元，機車每日、每次20元、月租500元。,有,宜蘭縣冬山鄉冬山村中正路 1 號
TRA,TRAJLY1703,中壢停8,24.942960739135742,121.21499633789062,30元/時,無,桃園市中壢區平鎮區新富一街11號
TRA,TRAJSY4002,礁溪停一停車場,24.826749801635742,121.77474212646484,"汽車計時平日每小時30元;假日每小時40元;機車計次,每次30元",有,宜蘭縣礁溪鄉德陽村溫泉路1號
TRA,TRAJLY0105E,臺北車站東區地下停車場,25.047319412231445,121.5197982788086,臨停：平日60元/時，假日70元/時，停車未滿半小時以半小時計，當日每次優惠最高500元(隔日另計)；機車10元/時，當日每次優惠最高100元(隔日另計)。月租：全日7000元，機1200元 (身障半價),有,臺北市中正區北平西路3號東區B1
TRA,TRAJTY0119,歐派克南岡山捷運停車場,22.780359268188477,120.30223083496094,機車平日25/假日30,無,高雄市岡山區崙子頂路2號出口南岡山捷運站
TRA,TRAJTY0143,高雄停11,22.63823,120.30891,每半小時30元(當日連續停放最高收费300元),無,高雄市三民區長明街126號旁
TRA,TRAJTY0162,左營站附屬停車場,22.67423,120.29491,40/時,有,高雄市左營區翠華路1050號(台鐵左營站)停車場
TRA,TRAJSY4003,礁溪停二停車場,24.82687,121.77503,計時平日每半小時15元;假日每半小時20元;月租3000元,無,宜蘭縣德陽村溫泉路1號
TRA,TRAJNY3302,苗栗車站東站停車場,24.56938,120.82261,臨停 汽車：20元/時，機車：30元次；月租 汽車：2400元/月，機車：500元/月,無,苗栗縣 為公路1號
TRA,TRAJTY0133,潮州北側機車停車場,22.551300048828125,120.5365982055664,機車每日15,無,屏東縣潮州鎮信義路111號
TRA,TRAJLY26025,基隆停3,25.134780883789062,121.74067687988281,每日/每次：30元（當日零時至24時），跨日累計計價。,無,基隆市中山區仁愛區港西街53號
TRA,TRAJNY0104,頭家厝火車站附設停車場,24.19638,120.70408,每小時:20元,無,臺中市頭張東路43巷8號
TRA,TRAJTY0157,臺南停5,22.99803924560547,120.21247863769531,機車每日：50 元 機車月租：1200元,無,臺南市東區北門路二段14號
TRA,TRAJLY2611,基隆停5,25.13088035583496,121.73825073242188,臨停： 汽車平日每小時30元，假日每小時40元。(當日上限220，不分平假日) 以半小時累計，停車未逾30分鐘者以半小時計收，逾30分鐘者以1小時計收。 機車每次20元（當日零時至24時），跨日累計計價。,無,基隆市中山區仁愛區孝四路12號
