縣市,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
NewTaipei,130103,土城中央二平面停車場,24.982004,121.443462,小型車計時60元;小型車月租2000元;,未提供,新北市土城區中央路1段302號對面空地
NewTaipei,140065,Times蘆洲長榮路第3停車場,25.086978,121.460042,小型車計時80元;小型車月租8000元;,未提供,新北市蘆洲區長榮路288號旁
NewTaipei,140066,Times蘆洲民族路停車場,25.090483,121.475162,小型車計時80元;小型車月租8000元;,未提供,新北市蘆洲區民族路327巷42號旁
NewTaipei,090054,Times三峽大學路第2停車場,24.947281,121.372177,小型車計時80元;小型車月租8000元;,未提供,新北市三峽區大學路218號旁
NewTaipei,070037,樹林國民運動中心停車場,25.004224,121.422798,小型車計時20元;小型車月租4000元;機車免費;,未提供,新北市樹林區中正路188-6號B1
NewTaipei,110051,宜舍汐止平面停車場,25.071383,121.664819,小型車計時40元;小型車月租3000元;,未提供,新北市汐止區汐止車站北側茄苳路至建成路間鐵路高架橋下P148~P151墩柱間土地
NewTaipei,170091,林口區力行段臨時路外停車場,25.077227,121.369586,小型車計時30元;小型車月租4800元;,未提供,新北市林口區民族路216巷旁
NewTaipei,010254,Times板橋華江一路停車場,25.035604,121.474455,小型車計時80元;小型車月租8000元;,未提供,新北市板橋區華江一路162號旁
NewTaipei,130104,青仁路青仁停車場,24.978768,121.461053,小型車月租每季6500元;,未提供,新北市土城區青仁路21號旁空地
NewTaipei,060104,宜家家居股份有限公司新店分公司停車場,24.972348,121.530702,小型車計時80元;重型機車計時80元;小型車月租8000元;,未提供,新北市新店區中央路157、159號B1及2F、3F
NewTaipei,050029,新莊區農會停車場,25.037858,121.458226,小型車計時60元;小型車計時40元;小型車月租4200元;小型車月租3100元;小型車月租3400元;小型車月租2800元;,未提供,新北市新莊區中正路80號B2-B4
NewTaipei,020207,宏達經營管理顧問有限公司仁義二停車場,25.079717,121.498932,小型車計時40元;小型車月租4000元;,未提供,新北市三重區仁義街79巷與元富一街交叉口往仁義街方向約50公尺
NewTaipei,030153,Times中和興南路二段停車場,24.985185,121.5064,小型車計時80元;小型車月租8000元;,未提供,新北市中和區興南路2段54巷內
NewTaipei,060036,新店區台北矽谷大樓停車場,24.984344,121.540025,小型車計時40元;小型車計時60元;,未提供,新北市新店區北新路3段205、205-1號B3
NewTaipei,150040,全弘A區收費停車場,25.073419,121.446369,大型車月租3000元;,未提供,新北市五股區成泰路1段98巷28之26號
NewTaipei,130106,土城明峰停車場,24.986473,121.467715,小型車月租2500元;,未提供,新北市土城區明峰街與明峰街53巷口
NewTaipei,100040,淡水新市停車場,25.183888,121.446043,小型車計時30元;小型車月租1500元;,未提供,新北市淡水區新市1路3段101巷與101巷17弄交接處
NewTaipei,090023,台灣聯通北大停車場,24.945384,121.37863,"小型車計時60元;小型車月租6000元;機車計次30元;機車月租1,000元;",未提供,新北市三峽區學成路398號B1~B2
NewTaipei,070062,家樂福北大停車場,24.947423,121.379899,小型車計時60元;小型車月租4000元;,未提供,新北市樹林區大雅路288號B2/787~789、791~800、802~804、814~816、819~836、839~889號及B3/667~682、686、695、697~727、740~765、769~771、784號車格位
NewTaipei,270014,金全興商店1號停車場,25.220745,121.641843,小型車計次100元;,未提供,新北市金山區民生路47號
NewTaipei,270013,金全興商店2號停車場,25.220306,121.642051,小型車計次100元;,未提供,新北市金山區民生路47號
NewTaipei,060139,陽光PARK社區立體停車場,24.978297,121.514899,,未提供,新北市新店區安興路105號1樓/2~25號車格位
NewTaipei,090055,禮頓企業有限公司大學站停車場,24.943486,121.373048,小型車計時80元;小型車月租8000元;,未提供,新北市三峽區國際二街25號旁空地
NewTaipei,030137,漢傑華夏科大站停車場,24.981158,121.506774,小型車計時60元;小型車月租6000元;,未提供,新北市中和區工專路30號B1/6~24號格位及B2、B3
NewTaipei,020212,車堡寶實業股份有限公司新北大道場停車場,25.061698,121.467067,小型車計時60元;小型車月租6000元;,未提供,新北市三重區新北大道2段252號右側空地停車場
NewTaipei,020213,台灣聯通三重神農停車場,25.050929,121.475357,小型車計時80元;小型車月租5000元;,未提供,新北市三重區五谷王北街48巷內空地
NewTaipei,050199,鳳凰花園停車場,25.034892,121.444735,小型車計時40元;小型車月租6000元;機車計次20元;機車月租600元;,未提供,新北市新莊區中正路340號B1/464~533號汽車格、1~93號機車格及B2/534~556號汽車格
NewTaipei,170093,林口交響苑停車場,25.070864,121.361932,小型車月租6000元;,未提供,新北市林口區文化三路1段195號B1、B2
NewTaipei,020116,越鑫三重場停車場,25.060112,121.497563,小型車計時50元;小型車月租7000元;,未提供,新北市三重區光興街85號B1/1~12、15、18、19、22~30號格及B2/31~41、44、47、48、51~59號車格
NewTaipei,050215,Times新莊中誠街停車場,25.047144,121.451504,小型車計時80元;身障車月租8000元;,未提供,新北市新莊區中誠街53巷36號對面停車場
NewTaipei,150043,聯毅停車場,25.080784,121.439955,大型車月租8000元;,未提供,新北市五股區新五路2段238號
NewTaipei,060073,統帥工業區停車場,24.974468,121.549611,小型車計時40元;,未提供,新北市新店區寶興路45巷8弄5號1樓、B1
NewTaipei,090034,台灣聯通汐止福德停車場,24.944658,121.378223,小型車計時60元;身障車月租6000元;,未提供,新北市汐止區福德路38號B2、B3
NewTaipei,050216,Times新莊新泰路第2停車場,25.03642,121.448088,小型車計時80元;小型車月租8000元;,未提供,新北市新莊區新泰路139號左側旁停車場
NewTaipei,030100,名城停車場,24.999389,121.508243,小型車月租3500元;,未提供,新北市中和區景安路1號B1、B2
NewTaipei,060130,三車停車場,24.973182,121.554096,小型車月租4000元;,未提供,新北市新店區寶興便道/寶興便道停車場對面
NewTaipei,160012,泰山區明志國民小學地下停車場,25.044713,121.426899,小型車月租2000元;機車免費;,未提供,新北市泰山區新生路2號/綜合大樓B2
NewTaipei,130109,Times土城中央路二段第2停車場,24.979159,121.445774,小型車計時80元;小型車月租8000元;,未提供,新北市土城區中央路2段21巷128號旁
NewTaipei,050129,新莊君泰停車場,25.027607,121.413092,小型車計時60元;小型車月租4000元;,未提供,新北市新莊區雙鳳路77巷2號B1、B2
NewTaipei,010044,捷運江子翠站轉乘停車場,25.031017,121.473075,小型車月租3000元;,未提供,新北市板橋區文化路2段296號
NewTaipei,010116,捷運府中站轉乘停車場,25.008126,121.458728,機車計次30元;機車月租300元;,未提供,新北市板橋區縣民大道1段193號
NewTaipei,130059,捷運頂埔站轉乘停車場,24.959598,121.419437,小型車計時20元;小型車計時10元;小型車月租3000元;機車計次20元;機車月租300元;,未提供,新北市土城區中央路4段51-6號B1~B3
NewTaipei,130011,捷運海山站轉乘停車場,24.986984,121.449172,小型車計時40元;小型車計時20元;小型車月租3500元;機車計次20元;機車月租300元;,未提供,新北市土城區海山路39號B1
NewTaipei,010258,(板橋區)USPACE車位共享平臺停車場,25.012763,121.466244,;,未提供,
NewTaipei,030110,和城平面停車場,24.99347,121.485542,小型車計時50元;小型車月租5000元;,未提供,新北市中和區和城路1段263號
NewTaipei,060096,寶興停車場,24.973513,121.553933,小型車月租4000元;,未提供,新北市新店區寶興路45巷對面高架橋下(寶高便道1號)
NewTaipei,260006,福隆平面停車場,25.016823,121.94429,大型車計次100元;大型車計次150元;小型車計時20元;小型車計時40元;,未提供,新北市貢寮區興隆街24之1號旁停車場
NewTaipei,060014,新店柴埕市民活動中心地下停車場,24.967437,121.516409,小型車月租3000元;,未提供,新北市新店區安民街79號B1、B2
NewTaipei,060052,新店大豐社福館地下停車場,24.977552,121.538207,小型車月租4000元;,未提供,新北市新店區民族路110號B1
NewTaipei,050009,新莊文化藝術中心地下停車場,25.04763,121.44579,小型車計時30元;小型車月租3000元;,未提供,新北市新莊區中平路133號B1
NewTaipei,010042,新北市藝文中心平面停車場,25.026244,121.472184,小型車計時40元;小型車月租4000元;,未提供,新北市板橋區莊敬路62號
NewTaipei,080045,Times鶯歌鶯桃路第2停車場,24.965224,121.332636,小型車計時80元;小型車月租8000元;,未提供,新北市鶯歌區鶯桃路452號旁
NewTaipei,020219,捷運路停車場,25.0549,121.484658,小型車計時30元;小型車月租3000元;,未提供,新北市三重區捷運路22巷21號旁
NewTaipei,070039,金英堡收費停車場,25.011418,121.423509,小型車計時50元;,未提供,新北市樹林區俊英街133巷16-3號B1、B2/含車道行車動線及其他必要性之相關設施
NewTaipei,050225,聯邦企業廣場大樓收費停車場,25.060198,121.457881,小型車計時40元;小型車月租6000元;,未提供,新北市新莊區新北大道3段7號B1/255~272、297~310號車格位與車道行車動線及其他必要性之相關設施
NewTaipei,030065,潤泰全球中和分公司B3、B4停車場,25.002724,121.498996,小型車計時50元;,未提供,新北市中和區中山路2段228號B3、B4
