停車場ID,停車場名稱,地址,即時剩餘車位
110046,國泰汐止宿舍停車場,新北市汐止區建成路160巷63號B1、B2,-9
070065,羊咩咩停車場,新北市樹林區俊保路160號/樹潭消防分隊旁,-9
270016,新世紀語文短期補習班停車場,新北市金山區文化三路39號,-9
130115,上源停車場,新北市土城區青和街333號旁,-9
010068,板橋金站停車場,新北市板橋區館前西路6號B1/74~79、89~93、95、B2/56、57、59、65~68、73、B3/1~10、12~16、25、26、28、29、31、33~37號車格位,-9
110045,雍和台北園區收費停車場,新北市汐止區南陽街185~213號B1,-9
060144,(新店區)USPACE車位共享平臺停車場,,-9
010072,Uspace板橋旗艦停車場,新北市板橋區中山路1段279號,-9
060145,新店安興平面停車場,新北市新店區安興路與安民街交叉口,18
100018,北新停車場,新北市淡水區北新路184巷口,-9
070016,樹林國小慶福樓地下室及家長接送區停車場,新北市樹林區育英街176號B1及校外平面停車場,-9
140038,168停車聯盟-蘆洲三民場停車場,新北市蘆洲區三民路33號旁空地,-9
080033,礫間停車場,新北市鶯歌區館前路與文化路371巷交叉口,35
010122,便利停車場新巨蛋站,新北市板橋區文化路1段360號B2/小型車1055~1087及1104~1108號車格位、機車466~565號車格位,-9
050226,新北新莊凱悅嘉軒酒店停車場,新北市新莊區新北大道3段79號B1~B4,-9
070010,大同國民小學活動中心地下停車場,新北市樹林區大同街43號B1,-9
170033,國立臺灣師範大學林口校區資訊與教學大樓地下停車場,新北市林口區仁愛路1段2號(林口校區)資訊與教學大樓B1,-9
110052,iFG遠雄廣場停車場,新北市汐止區新台五路1段93-1號B2機車全層、B4/2364~2614及2616~3138號小型車位,250
170034,冠富林六期停車場,新北市林口區仁愛路2段106巷20、22號B1,-9
010132,愛買南雅店收費停車場,新北市板橋區貴興路101號B1、3F、4F、5F及頂樓,-9
170021,佳音林口文化二路停車場,新北市林口區文化二路2段1號旁空地,-9
010127,愛買南雅店路外停車場,新北市板橋區貴興路119號,-9
090060,富山三峽國成街停車場(一區),新北市三峽區學成路97號對面空地,-9
130046,城市車旅土城金城停車場,新北市土城區金城路3段12號B2/149~184、189~194、196~198號車位,-9
030160,(中和區)USPACE車位共享平臺停車場,,-9
090061,富山三峽國成街停車場(二區),新北市三峽區學成路97號對面空地,-9
040060,欣欣停車場,新北市永和區環河東路4段48號對面,-9
100002,水碓立體停車場,新北市淡水區中山北路1段189號,110
010152,四維公園地下停車場,新北市板橋區四維路177巷3弄6號B1~B3,50
010120,台灣聯通府中停車場,新北市板橋區中山路1段104號B1/1~10號車格位及B2,-9
060146,城市車旅新店寶中停車場,新北市新店區寶中路63號對面空地,233
010268,華江三路平面停車場,新北市板橋區華江三路211號旁停車場,-9
050245,Times新莊五工三路第2停車場,新北市新莊區五工三路78巷1號 對面停車場,-9
050244,Times全聯新莊幸福東店停車場,新北市新莊區幸福東路113號,-9
110090,汐止區建成段平面停車場,新北市汐止區鄉長路1段與大同路3段之汐止至五堵鐵路高架橋下,37
160005,泰山公有市場地下停車場,新北市泰山區全興路212號B1、B2,38
230027,八里福朋喜來登酒店停車場,新北市八里區觀海大道8號B1,-9
130036,博客金城站停車場,新北市土城區金城路3段202號,-9
110099,台鐵汐科南站停車場,新北市汐止區汐科火車站正下方,-9
130019,頂埔公有市場附設停車場,新北市土城區中州路28巷30號B1、B2,-9
170092,禮頓企業有限公司頭湖停車場,新北市林口區文化三路2段115巷76-1號旁空地,-9
170099,禮頓企業有限公司林口仁愛站停車場,新北市林口區仁愛路1段683號旁空地,-9
050211,禮頓新莊龍安停車場,新北市新莊區龍安路1-5號旁空地,-9
090007,三峽區中園國民小學停車場,新北市三峽區弘園街22號1F/1~41、49~55號及B1/1~28號車格位,-9
090052,禮頓企業有限公司國際一街上水停車場,新北市三峽區國際一街15號旁空地,-9
080054,禮頓企業有限公司鶯歌尖山路停車場,新北市鶯歌區尖山路100號旁空地,-9
060095,新店區中央公有零售市場停車場,新北市新店區中央五街60號1F/4~11號車格位,-9
010176,Times中和建六路停車場,新北市中和區建二路56號旁,-9
040068,玉清宮停車場,新北市永和區民樂街31巷17弄對面堤外高灘地,-9
050004,新莊區四維立體停車場,新北市新莊區四維路95號,9
010246,大觀段平面停車場,新北市板橋區大觀路1段29巷127-1號,20
030107,新北建八路平面停車場,新北市中和區建八路63號旁,-9
020228,中興北停車場,新北市三重區中興北街83號對面,-9
160002,義學立體停車場,新北市泰山區明志路2段188號,209
050247,Times新莊西盛街停車場,新北市新莊區西盛街220號旁停車場,-9
010269,Times樹林佳園路三段停車場,新北市樹林區佳園路3段和學勤路交叉口,-9
040062,Times 永和仁愛路停車場,新北市永和區仁愛路318號旁,-9
020143,五谷王三停車場,新北市三重區五谷王北街181-1號對面空地,-9
030020,錦和高中收費停車場,新北市中和區錦和路163號,-9
180006,深坑公有市場附設停車場,新北市深坑區平埔街22巷8號旁空地,-9
130094,禾典中央站停車場,新北市土城區中華路1段221號B1/汽車476~570號車格位，機車122~223號車格位,-9
030161,MIT-2地下停車場,新北市中和區立德街73號B1/329、343~346、354~359、361、364、365、369、370、391、392、397~400、430號車格位,-9
070048,秋煌停車場,新北市樹林區東大街144號對面,-9
010267,南雅停車場,新北市板橋區南雅西路1段61號,-9
110070,汐止樟樹停車場,新北市汐止區國道3號12K+065至12K+155高架橋下,-9
030058,艾德蒙海外股份有限公司停車場,新北市中和區建一路176號B2,-9
100015,艾德蒙海外股份有限公司淡水竹圍第一期停車場,新北市淡水區民族路33巷10號B2/28、29、60號車格位,-9
100014,艾德蒙海外股份有限公司淡水竹圍第二期停車場,新北市淡水區民族路31巷28~100號B2、B3,-9
100013,艾德蒙海外股份有限公司淡水竹圍第三期停車場,新北市淡水區民族路31巷1號B2、B3,-9
010031,板橋車站地下停車場,新北市板橋區縣民大道2段7號B1~B3,120
010154,板橋區臺65高架橋下(橋墩編號P93至P94)臨時平面停車場,新北市板橋區環河西路及板城路交叉口(華中公園旁)停車場,23
010064,馥都飯店停車場,新北市板橋區縣民大道1段189號B1~B4/1~49號車格位,-9
030067,中安停車場,新北市中和區南山路159號B1/1~27及31~102號車格位,-9
040061,天琴停車場,新北市永和區環河東路4段對面河堤內停車場,-9
100054,新北市滬尾藝文休閒園區停車場,新北市淡水區中正路1段2號B1、1F、2F,-9
010216,環翠段臨時平面停車場,新北市板橋區文新路與仁化街交叉口停車場,124
010134,全群停車場,新北市板橋區四維路230巷2號,-9
150046,太豐停車場,新北市五股區夏綠地街17號,-9
010170,板橋區江翠段122地號平面停車場,新北市板橋區華江一路377號旁,10
130070,金城平面停車場,新北市土城區金城路2段與明德路1段交叉口,-9
050099,新北市興化國小附設停車場,新北市新莊區五工二路50巷2號,-9
170101,台灣聯通林口新寮停車場,新北市林口區仁愛路1段285巷2號B1,-9
150026,新北市勞工活動中心地下停車場,新北市五股區五工六路9號B1,-9
130027,嵿埔之星科技廣場停車場,新北市土城區中央路4段51號1樓及E棟2F、3F,-9
090062,Times三峽中山路停車場,新北市三峽區中山路299巷3號對面,-9
050163,昌和停車場,新北市新莊區昌和街與昌平街交叉口,-9
080055,鶯歌大明昌停車場,新北市鶯歌區建國路33號旁,-9
030063,智富連城工商園區停車場,新北市中和區連城路232-1號B1/1、2、184~195、218~225號車格位,-9
230029,全聯八里商港停車場,新北市八里區商港一路197號/1~11號車格位,-9
150047,全聯五股新五停車場,新北市五股區新五路3段120號,-9
090063,Times三峽和平街停車場,新北市三峽區和平街29巷8號旁,-9
080057,尖山國中戶外停車場,新北市鶯歌區國中街1號,-9
170062,台灣聯通林口文林停車場,新北市林口區文化三路1段447巷29號對面空地,-9
110086,豪欣停車場,新北市汐止區福德二路29號旁,-9
170047,廣停二平面停車場,新北市林口區文化三路1段及仁愛一路交叉口,0
170046,廣停三平面停車場,新北市林口區文化二路1段與文化二路1段309巷交叉口,2
170045,廣停四平面停車場,新北市林口區文化三路1段394巷,18
010157,廣停六平面停車場,新北市林口區仁愛一路及民富街交叉口,0
170044,廣停七平面停車場,新北市林口區文化三路1段394巷及文化二路1段241巷交叉口,40
050252,新莊福營機車停車場,新北市新莊區福營路97巷10號旁,-9
010204,Times 板橋大觀路二段停車場,新北市板橋區大觀路二段174巷134號對面,-9
020230,俥萊有限公司大榮場停車場,新北市三重區大榮街53號旁空地,-9
140047,比活力停車場,新北市蘆洲區信義路165號,-9
110101,驛林交通股份有限公司汐止站停車場,新北市汐止區中興路168號B2/1~11及13~102號車格位,-9
040025,漢傑企業-永安站停車場,新北市永和區中和路499號B2/86~137號車位,-9
